Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad)
3.25,0.005088569679420868,-0.004416395231543375,0.0019155008156788444,-0.0022425661506198687,8.358648088943599e-05,-0.0003840944982503435,-0.00010376095717926082,5.962576906323909e-05,-2.0402796271967727e-05,2.3997994598410136e-05,-6.456520371123098e-08,2.2571847999291322e-06,7.879994753656749e-07,-6.953133683783308e-07
3.3000000000000003,0.00302784022639635,-0.002098837518689809,0.0015350733859592347,-0.0015622053579132924,0.00025519758507991375,-0.0004783381395940915,-6.020667588682582e-05,-1.4307816228742443e-06,-2.3675353328367343e-05,1.9421744779963765e-05,-2.9226910302770914e-06,4.472684821326539e-06,4.056429509791126e-07,2.0080708200420627e-08
3.35,0.001214738608903393,-0.0003323926247142282,0.0009221678196603134,-0.0007556904206907676,0.00031908431376656554,-0.0004437593312311087,-8.194160835112152e-06,-5.2724168796520685e-05,-1.9554172729724373e-05,9.301297526652375e-06,-4.45062437501309e-06,4.412932164751283e-06,-1.5402344794024359e-07,5.933931641003559e-07
3.4000000000000004,9.852450789685219e-05,0.0004928478479655479,0.0002576050964323562,-1.4132135581501788e-05,0.00027481176160540355,-0.00030804366783300594,3.853680147317129e-05,-8.711789748259893e-05,-1.1308290542549893e-05,-1.2668295673702937e-06,-4.525671243787999e-06,3.0545643634012284e-06,-5.740697206491063e-07,7.731952684905327e-07
3.45,-6.576668733926372e-05,0.00015866081991623877,-0.00027589887074466746,0.00048256466980655527,0.0001369193482026465,-9.573427764539028e-05,7.103673778308117e-05,-0.00010174981718391943,-1.0823176904706244e-06,-1.1209915139936792e-05,-3.639447519854233e-06,1.3616192577788067e-06,-7.765400697745672e-07,7.065325667169123e-07
3.5,0.0006696178801529618,-0.0012308424019546963,-0.000509741012634346,0.0005626034926381196,-5.850981273383682e-05,0.00014714078550785107,7.889600228203064e-05,-8.743986875579292e-05,9.67662848802564e-06,-1.9940937909089344e-05,-1.998539643388586e-06,-6.733154197845551e-07,-8.279098392127704e-07,5.694168497029362e-07
3.5500000000000003,0.0018740252598614393,-0.0031292031818595445,-0.00035555881867146977,0.0001613536331888047,-0.00024381410543397597,0.0003354078908147278,5.401466368776253e-05,-3.904556815825626e-05,1.790010604713066e-05,-2.377675855524345e-05,3.4967993797763164e-07,-3.0901528259045727e-06,-7.182261354266029e-07,2.99943227618886e-07
3.6,0.002855759638593941,-0.004708409337144139,0.00012519019969733924,-0.0005853783023823857,-0.00033998144858451984,0.0003836258632486196,1.1117418105832666e-06,2.9414682838926204e-05,1.953973141347043e-05,-1.8797301302711164e-05,2.791787779815591e-06,-4.9120616939634515e-06,-3.6946664097592397e-07,-1.955875515401162e-07
3.6500000000000004,0.002942198459837758,-0.005236820932648848,0.0007299442217920671,-0.0013854078918791105,-0.0002986969396752137,0.00026559153515780644,-6.063003672548972e-05,8.963740398479944e-05,1.3090537938076352e-05,-6.144355221330243e-06,4.200691270578316e-06,-4.861919885582305e-06,1.5588362253793342e-07,-7.292190221358085e-07
3.7,0.0017390242852865223,-0.004375913416310726,0.0012061682337143054,-0.001941850426089252,-0.00012583877620839234,2.689379816310229e-05,-0.00010897949991670042,0.00011988335080083336,1.2475746543061383e-06,8.147204014582804e-06,3.8982222831940305e-06,-2.8851186740517024e-06,6.063265608757806e-07,-9.494373099251229e-07
3.75,-0.0007697489002635172,-0.0022227286198096647,0.0013492896962444545,-0.002071735023530104,0.0001317872496658934,-0.0002566779840372825,-0.00013042471395641186,0.00011665426577323577,-1.1545754676073328e-05,1.8773568725040726e-05,2.241425899718319e-06,-2.692596924765145e-07,7.697751751578608e-07,-7.512557895781105e-07
3.8000000000000003,-0.004262062685688628,0.0008102328029602444,0.0010465834653027029,-0.001716878651578907,0.0004135528160817692,-0.0005208709092441345,-0.00012082441082386652,8.61073374143536e-05,-2.2401369113106417e-05,2.493913199618121e-05,6.203747474065047e-08,1.8291724696896383e-06,6.737222692787537e-07,-3.9310943667977827e-07
3.85,-0.008167146416013793,0.004106218024225184,0.0002801260500214231,-0.0009056585109328708,0.0006564074440080503,-0.000713248741881084,-7.903058581695821e-05,3.051395872203516e-05,-3.0090649918407264e-05,2.7814655995989437e-05,-2.2602100809010484e-06,3.5151342586397377e-06,4.861272616119017e-07,-1.5118442217749994e-07
3.9000000000000004,-0.011777276832958539,0.006926361202133948,-0.000864453653190822,0.00024267722717325434,0.000792613166305689,-0.0007731051047653401,-6.343856789658986e-06,-4.950017776351144e-05,-3.245537591645142e-05,2.5555059961629434e-05,-4.831391267640095e-06,5.449357325089041e-06,2.459586918579504e-07,4.736642147430692e-08
3.95,-0.014427168758717773,0.008580958670665157,-0.0021819077580370327,0.0014802840457597763,0.0007616815052775838,-0.0006441676809206074,8.474346483919315e-05,-0.00013849967998474412,-2.5641416051436217e-05,1.3457670465091137e-05,-7.295268421303458e-06,7.146985066406458e-06,-2.0765285793644672e-07,5.176095613911719e-07
4.0,-0.015734242924247577,0.008714687730552194,-0.0033778622951931847,0.002462752635022848,0.0005468982168906344,-0.00032839679896003084,0.0001652496871713538,-0.00020040132108136485,-7.750885727714207e-06,-9.313522833637872e-06,-8.249557226169824e-06,6.657145382956732e-06,-9.604597926982095e-07,1.2958997832532293e-06
4.05,-0.015772900157730585,0.007518070197256892,-0.00417579686113978,0.0028968466681231443,0.00020529596362900415,7.888326624677883e-05,0.00020108926120165904,-0.0001994308607376745,1.6704925062477338e-05,-3.45128995700814e-05,-6.174722700452717e-06,2.553327933756946e-06,-1.7255258246695604e-06,1.8616402044059014e-06
4.1000000000000005,-0.015045486044213213,0.0056599114365530325,-0.004444276837586941,0.002702213598261001,-0.00014787273090524633,0.0004271115655079291,0.00017515904164525087,-0.00012992899693680272,3.7601300862138975e-05,-4.904583349113652e-05,-1.128639506881024e-06,-3.927529086851511e-06,-1.9589628098559686e-06,1.568971271163292e-06
