Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
6.075000000000000178e+00,3.253515672116268576e+00,1.752899999999999903e+00,2.930181000000000036e-01,1.830099893763694197e-01,2.927647526846041681e-01,1.830524539646703475e-01
6.100000000000000533e+00,2.531340295306550914e+00,1.553399999999999892e+00,2.916494000000000031e-01,1.828598910606979155e-01,2.914984778167670765e-01,1.829092659055360226e-01
6.125000000000000000e+00,2.455476370361655114e+00,1.292399999999999993e+00,2.901978000000000613e-01,1.826068183191587313e-01,2.899590590824281389e-01,1.826376468406651910e-01
6.150000000000000355e+00,1.392558781397163159e+00,1.120200000000000085e+00,2.882059000000000704e-01,1.821582687013961754e-01,2.881429573930485710e-01,1.822260085326794787e-01
6.175000000000000711e+00,2.681529466314263033e+00,1.101999999999999869e+00,2.865775999999999879e-01,1.817254270469015887e-01,2.860474833777281178e-01,1.816631360506967829e-01
6.200000000000000178e+00,2.253814466492079394e+00,1.098400000000000043e+00,2.839817000000000036e-01,1.809470102005120984e-01,2.836712935713147088e-01,1.809388362899204683e-01
6.225000000000000533e+00,1.270416433523494204e+00,1.174799999999999844e+00,2.814690000000000247e-01,1.801109974888068233e-01,2.810148138842378795e-01,1.800445278469207377e-01
6.250000000000000000e+00,2.554066025806095208e+00,1.484499999999999931e+00,2.787253000000000092e-01,1.791266317906820282e-01,2.780805582771699869e-01,1.789737302076308545e-01
6.275000000000000355e+00,2.261351406614155124e+00,1.595800000000000107e+00,2.757452000000000236e-01,1.779851864598777644e-01,2.748733194687526527e-01,1.777224213250266915e-01
6.300000000000000711e+00,3.147576278585211274e+00,1.962900000000000089e+00,2.719343999999999650e-01,1.764353340841067763e-01,2.714002182355542137e-01,1.762892463672242893e-01
6.325000000000000178e+00,3.449979048304115281e+00,2.387199999999999989e+00,2.683942999999999746e-01,1.749221336226276791e-01,2.676706081609177001e-01,1.746755734610043187e-01
