Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad)
5.650000000000000355e+00,2.797304809400180670e-02,-1.396184974537859058e-02,4.193489783938036952e-02,4.193489783938036952e-02
5.675000000000000711e+00,2.818367427055840091e-02,-1.407759498545978205e-02,4.226126925601816908e-02,4.226126925601816908e-02
5.700000000000000178e+00,2.839864682367743143e-02,-1.419468042933713647e-02,4.259332725301456790e-02,4.259332725301456790e-02
5.725000000000000533e+00,2.861836705216441734e-02,-1.431306850277952458e-02,4.293143555494394192e-02,4.293143555494394192e-02
5.750000000000000000e+00,2.884332166368980266e-02,-1.443282323384455224e-02,4.327614489753436877e-02,4.327614489753436877e-02
5.775000000000000355e+00,2.907406819896352079e-02,-1.455411430769543157e-02,4.362818250665889686e-02,4.362818250665889686e-02
5.800000000000000711e+00,2.931121484217341644e-02,-1.467720573609321288e-02,4.398842057826662932e-02,4.398842057826662932e-02
5.825000000000000178e+00,2.955540226514391522e-02,-1.480242682639459906e-02,4.435782909153851428e-02,4.435782909153851428e-02
5.850000000000000533e+00,2.980728516477704204e-02,-1.493012648343497450e-02,4.473741164821198879e-02,4.473741164821198879e-02
5.875000000000000000e+00,3.006750094567373077e-02,-1.506062052578532873e-02,4.512812147145905950e-02,4.512812147145905950e-02
5.900000000000000355e+00,3.033661410516330648e-02,-1.519414693500528712e-02,4.553076104016856585e-02,4.553076104016856585e-02
5.925000000000000711e+00,3.061503840571239143e-02,-1.533083972774375303e-02,4.594587813345615834e-02,4.594587813345615834e-02
5.950000000000000178e+00,3.090295582802538021e-02,-1.547072237228776237e-02,4.637367820031315646e-02,4.637367820031315646e-02
5.975000000000000533e+00,3.120026083707450049e-02,-1.561371533545449775e-02,4.681397617252897048e-02,4.681397617252897048e-02
6.000000000000000000e+00,3.150655477043906583e-02,-1.575965336216501866e-02,4.726620813260409837e-02,4.726620813260409837e-02
6.025000000000000355e+00,3.182119941168592980e-02,-1.590831175115520191e-02,4.772951116284113171e-02,4.772951116284113171e-02
6.050000000000000711e+00,3.214341773111645262e-02,-1.605943985891043757e-02,4.820285759002687631e-02,4.820285759002687631e-02
6.075000000000000178e+00,3.247241177309023730e-02,-1.621279370072324644e-02,4.868520547381346986e-02,4.868520547381346986e-02
6.100000000000000533e+00,3.280746148130753159e-02,-1.636815619364952179e-02,4.917561767495706726e-02,4.917561767495706726e-02
6.125000000000000000e+00,3.314798043351674384e-02,-1.652534102896394130e-02,4.967332146248065738e-02,4.967332146248065738e-02
6.150000000000000355e+00,3.349353051120285141e-02,-1.668418994035844594e-02,5.017772045156126959e-02,5.017772045156126959e-02
6.175000000000000711e+00,3.384381919547468920e-02,-1.684457928751856293e-02,5.068839848299327988e-02,5.068839848299327988e-02
6.200000000000000178e+00,3.419870423549165039e-02,-1.700644268843733153e-02,5.120514692392894029e-02,5.120514692392894029e-02
6.225000000000000533e+00,3.455821334879155549e-02,-1.716980003038832969e-02,5.172801337917984354e-02,5.172801337917984354e-02
6.250000000000000000e+00,3.492256771028900975e-02,-1.733477482011205884e-02,5.225734253040104083e-02,5.225734253040104083e-02
6.275000000000000355e+00,3.529219080630507932e-02,-1.750158785884720070e-02,5.279377866515228002e-02,5.279377866515228002e-02
6.300000000000000711e+00,3.566769124333996066e-02,-1.767052861181842016e-02,5.333821985515840858e-02,5.333821985515840858e-02
6.325000000000000178e+00,3.604982214901913951e-02,-1.784191551386178631e-02,5.389173766288088419e-02,5.389173766288088419e-02
6.350000000000000533e+00,3.643942961533763736e-02,-1.801605809032057193e-02,5.445548770565819541e-02,5.445548770565819541e-02
6.375000000000000000e+00,3.683740098148224895e-02,-1.819322954879777632e-02,5.503063053028003915e-02,5.503063053028003915e-02
6.400000000000000355e+00,3.724461361511266499e-02,-1.837365311465648243e-02,5.561826672976913355e-02,5.561826672976913355e-02
6.425000000000000711e+00,3.766187735212328525e-02,-1.855750167958022945e-02,5.621937903170354245e-02,5.621937903170354245e-02
6.450000000000000178e+00,3.808986790259344390e-02,-1.874490785720916985e-02,5.683477575980261376e-02,5.683477575980261376e-02
6.475000000000000533e+00,3.852906114176235519e-02,-1.893597818689576884e-02,5.746503932865809627e-02,5.746503932865809627e-02
6.500000000000000000e+00,3.897968588176764504e-02,-1.913080106292380789e-02,5.811048694469145293e-02,5.811048694469145293e-02
6.525000000000000355e+00,3.944170631639123958e-02,-1.932943718264577837e-02,5.877114349903703183e-02,5.877114349903703183e-02
6.550000000000000711e+00,3.991483012834548538e-02,-1.953188839270054988e-02,5.944671852104602139e-02,5.944671852104602139e-02
6.575000000000000178e+00,4.039852773339522307e-02,-1.973805407384184030e-02,6.013658180723704949e-02,6.013658180723704949e-02
6.600000000000000533e+00,4.089205057064537741e-02,-1.994769501751179896e-02,6.083974558815716249e-02,6.083974558815716249e-02
6.625000000000000000e+00,4.139444855192803141e-02,-2.016042481106723738e-02,6.155487336299528267e-02,6.155487336299528267e-02
6.650000000000000355e+00,4.190459780264813028e-02,-2.037573723432037354e-02,6.228033503696850381e-02,6.228033503696850381e-02
6.675000000000000711e+00,4.242125011079447838e-02,-2.059306178739141180e-02,6.301431189818590406e-02,6.301431189818590406e-02
6.700000000000000178e+00,4.294310545146670655e-02,-2.081182776758117720e-02,6.375493321904789068e-02,6.375493321904789068e-02
6.725000000000000533e+00,4.346889832257766484e-02,-2.103151711349147274e-02,6.450041543606911676e-02,6.450041543606911676e-02
6.750000000000000000e+00,4.399748499976421923e-02,-2.125169656194155626e-02,6.524918156170576855e-02,6.524918156170576855e-02
6.775000000000000355e+00,4.452791957878068918e-02,-2.147203171821206874e-02,6.599995129699275098e-02,6.599995129699275098e-02
6.800000000000000711e+00,4.505950699224012257e-02,-2.169229073867750407e-02,6.675179773091761970e-02,6.675179773091761970e-02
6.825000000000000178e+00,4.559182438051642694e-02,-2.191234282163325581e-02,6.750416720214967581e-02,6.750416720214967581e-02
6.850000000000000533e+00,4.612471305281318212e-02,-2.213215250303857129e-02,6.825686555585175341e-02,6.825686555585175341e-02
6.875000000000000000e+00,4.665825566178355421e-02,-2.235176959873144686e-02,6.901002526051500108e-02,6.901002526051500108e-02
