Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
5.425000000000000711e+00,-1.416051804353855026e-01,5.159000000000000252e-01,7.794540000000001190e-02,1.631813037444618530e-01,7.797279840913270976e-02,1.632380143273665374e-01,7.312437097176080480e-02,1.741279755635572468e-01,-4.848427437371904958e-03,1.088996123619070944e-02,5.578375650407240566e-02
5.450000000000000178e+00,5.764700703049852049e-01,5.461000000000000298e-01,7.998249999999999804e-02,1.655095729666222759e-01,8.062403103735552024e-02,1.662436352211226487e-01,7.573594347091074097e-02,1.772225389284097508e-01,-4.888087566444779264e-03,1.097890370728710208e-02,5.578375650407240566e-02
5.475000000000000533e+00,4.309368967539843887e-01,5.335999999999999632e-01,8.236050000000000315e-02,1.681834173806776023e-01,8.322387145444914980e-02,1.691377425952685087e-01,7.829637635640522564e-02,1.802051045160857623e-01,-4.927495098043924160e-03,1.106736192081725356e-02,5.578375650407240566e-02
5.500000000000000000e+00,2.423134642309675846e-01,6.512999999999999901e-01,8.473080000000000889e-02,1.707996659294170605e-01,8.575946183924183785e-02,1.719130537505113854e-01,8.079282797237055669e-02,1.830688068117021228e-01,-4.966633866871281167e-03,1.115575306119073740e-02,5.578375650407240566e-02
5.525000000000000355e+00,3.499590206440219009e-01,8.129999999999999449e-01,8.789269999999999028e-02,1.742257472510819472e-01,8.821786156938901668e-02,1.745623730534816842e-01,8.321230468858731300e-02,1.858069188070435307e-01,-5.005556880801703690e-03,1.124454575356184649e-02,5.578375650407240566e-02
5.550000000000000711e+00,4.814652395931542928e-01,8.773999999999999577e-01,8.982969999999999844e-02,1.762939624146952211e-01,9.058635015858555739e-02,1.770789638734198701e-01,8.554193887046705747e-02,1.884132019159444338e-01,-5.044411288118499925e-03,1.133423804252456368e-02,5.578375650407240566e-02
5.575000000000000178e+00,5.094894920596075849e-01,9.795000000000000373e-01,9.242260000000000753e-02,1.790306386818223405e-01,9.285267057387398826e-02,1.794569533433678921e-01,8.776924626565456300e-02,1.908822529264705137e-01,-5.083424308219425258e-03,1.142529958310262161e-02,5.578375650407240566e-02
5.600000000000000533e+00,8.827862409450709658e-01,1.074000000000000066e+00,9.417699999999999683e-02,1.808632343964163836e-01,9.500521344050581740e-02,1.816917069226761383e-01,8.988235051529341879e-02,1.932098152696234972e-01,-5.122862925212398610e-03,1.151810834694735886e-02,5.578375650407240566e-02
5.625000000000000000e+00,6.405998612204090170e-01,1.126599999999999824e+00,9.617929999999999535e-02,1.829384308770376499e-01,9.703314715834006343e-02,1.837801331257231108e-01,9.187016209547552159e-02,1.953930480002746828e-01,-5.162985062864541841e-03,1.161291487455157201e-02,5.578375650407240566e-02
5.650000000000000355e+00,9.899060646425140719e-01,1.278299999999999992e+00,9.837219999999999298e-02,1.852003775876223113e-01,9.892649812222856220e-02,1.857209105806723048e-01,9.372250254563127547e-02,1.974307563389449682e-01,-5.203995576597286732e-03,1.170984575827266339e-02,5.578375650407240566e-02
