Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
6.500000000000000000e+00,3.748198438338446348e+00,1.732900000000000107e+00,2.311882000000000104e-01,1.515155230241317375e-01,2.299716958573119752e-01,1.508698977275657882e-01,2.522001830022340130e-01,1.833419910982368450e-01,2.222848714492203781e-02,3.247209337067105683e-02,1.462170021962233279e-01
6.525000000000000355e+00,2.814861800575575668e+00,1.469300000000000050e+00,2.251781999999999950e-01,1.483198251637301290e-01,2.245936182613253451e-01,1.479959593168334309e-01,2.471432237185579583e-01,1.809171392876397222e-01,2.254960545723261323e-02,3.292117997080629133e-02,1.462170021962233279e-01
6.550000000000000711e+00,1.149248151389542061e+00,1.297600000000000087e+00,2.207954000000000028e-01,1.459706119905457566e-01,2.190758621981365173e-01,1.450268783741313350e-01,2.419522036878814508e-01,1.784036366577993471e-01,2.287634148974493353e-02,3.337675828366801212e-02,1.462170021962233279e-01
6.575000000000000178e+00,2.469489584798801651e+00,1.173799999999999955e+00,2.144832000000000127e-01,1.425689652784087880e-01,2.134265554149760713e-01,1.419728956229919792e-01,2.366346999909806903e-01,1.758109441928163152e-01,2.320814457600461900e-02,3.383804856982433606e-02,1.462170021962233279e-01
6.600000000000000533e+00,2.336171001763506894e+00,1.110800000000000010e+00,2.089189000000000185e-01,1.395617629772225587e-01,2.076516864694263054e-01,1.388431349923341940e-01,2.311961218835625886e-01,1.731474522299017438e-01,2.354443541413628327e-02,3.430431723756754980e-02,1.462170021962233279e-01
6.625000000000000000e+00,1.332395120488805373e+00,1.018399999999999972e+00,2.023317000000000032e-01,1.359943099861461724e-01,2.017551736750259062e-01,1.356455640852272937e-01,2.256398206983618038e-01,1.704204940717420624e-01,2.388464702333589762e-02,3.477492998651476874e-02,1.462170021962233279e-01
6.650000000000000355e+00,2.144557208723088859e+00,1.082400000000000029e+00,1.956200999999999912e-01,1.323640251419979652e-01,1.957390765690444068e-01,1.323870658796958699e-01,2.199673405291188155e-01,1.676364548313544756e-01,2.422826396007440874e-02,3.524938895165860564e-02,1.462170021962233279e-01
6.675000000000000711e+00,1.346789931076923796e+00,1.081199999999999939e+00,1.907346000000000041e-01,1.297268326422345297e-01,1.896039357359269317e-01,1.290736056649664232e-01,2.141787955338135263e-01,1.648009587146494481e-01,2.457485979788659458e-02,3.572735304968302494e-02,1.462170021962233279e-01
6.700000000000000178e+00,3.160012825283201598e-01,1.189500000000000002e+00,1.838140000000000052e-01,1.260057906769826153e-01,1.833492174301057931e-01,1.257104679727270857e-01,2.082733495720426875e-01,1.619191152489434515e-01,2.492413214193689441e-02,3.620864727621636581e-02,1.462170021962233279e-01
6.725000000000000533e+00,2.004792704421221039e+00,1.346400000000000041e+00,1.777737000000000067e-01,1.227769315607931122e-01,1.769738317381200632e-01,1.223025322824965733e-01,2.022497587984153355e-01,1.589957960584040264e-01,2.527592706029527236e-02,3.669326377590745314e-02,1.462170021962233279e-01
